domain,org_type,org_name,source,source_ref,is_active,notes
antonutbildning.com,enskild_huvudman,Slutplattan DYXJO 98297 AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568052004,false,
antonutbildning.se,enskild_huvudman,Anton Utbildning AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566024906,true,
apolloniosskolan.se,enskild_huvudman,Apolloniosskolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5591043798,true,
aprendere.se,enskild_huvudman,MOV Gymnasieskolor AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5563836757,true,
arbsweden.com,enskild_huvudman,Academy X Economy and Business Kristianstad AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5569863433,true,
arstagard.se,enskild_huvudman,STIFTELSEN ÅRSTA GÅRD,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8020177427,true,
arydsfriskola.se,enskild_huvudman,ÅRYDS FRISKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024419700,true,
aslefriskola.se,enskild_huvudman,Åsle Friskola ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696361646,true,
aspenmontessori.se,enskild_huvudman,ASPEN MONTESSORI,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8635005500,true,
aspero.nu,enskild_huvudman,ASPERO FRISKOLOR AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566363973,true,
assaredsskolan.se,enskild_huvudman,ASSAREDS SKOLKOOPERATIV EK FÖR.,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164451390,true,
atletica.nu,enskild_huvudman,Tibble Campus Kista AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567799035,true,
aventyret.net,enskild_huvudman,STIFTELSEN ÄVENTYRET,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024262159,true,
awpe.se,enskild_huvudman,salvare education AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568080542,true,
axbschools.com,enskild_huvudman,Academy X Music and Business Tingsryd AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568792997,true,
backaforsskolan.se,enskild_huvudman,Bäckaforsskolan i Ljungskile AB,official_org_site,https://www.backaforsskolan.se/,true,confirmed_from_skolverket_missing_url_queue;school_unit=Bäckaforsskolan(AKTIV)
backafriskola.se,enskild_huvudman,Nyed Friskola Ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696278477,true,
backaskolan.se,enskild_huvudman,FÖRENINGEN BACKASKOLAN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8465001777,true,
backeboskolan.se,enskild_huvudman,Backeboskolan ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164221470,true,
baldershus.com,enskild_huvudman,Balders hus AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567283899,false,
banerporten.se,enskild_huvudman,BANÉRPORTSSKOLAN AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566064001,true,
banerskolan.se,enskild_huvudman,STIFTELSEN SEGERBANERET,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8832014776,false,
barsebacks-montessori.se,enskild_huvudman,BARSEBÄCKS MONTESSORI EKONOMISK FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696006191,true,
bastadmontessori.se,enskild_huvudman,BÅSTAD MONTESSORI EKONOMISK FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164367695,true,
batbacken.se,enskild_huvudman,Båtbackens Friskola ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696151641,true,
bellevueskolan.se,enskild_huvudman,BELLEVUESKOLAN AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565686135,false,
bergatrollet.nu,enskild_huvudman,FÖRÄLDRAKOOPERATIVET BERGATROLLET,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8728003826,true,
bergsundsskolan.se,enskild_huvudman,AXEDINSKOLAN AKTIEBOLAG,official_org_site,https://www.bergsundsskolan.com/,true,confirmed_from_skolverket_missing_url_queue
betaschool.eu,enskild_huvudman,Betaschool Handelsbolag,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/9697195593,false,
betelskolan.nu,enskild_huvudman,BETELFÖRSAMLINGENS SKOLSTIFTELSE,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024250972,true,
beut.se,enskild_huvudman,Bergstrands Gymnasium AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566753736,true,
binomen.org,enskild_huvudman,FÖRENINGEN BARNENS BÄSTA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8124012371,true,
birgerjarls.se,enskild_huvudman,Birger Jarls Gymnasium AB,official_org_site,https://birgerjarls.se/,true,confirmed_from_skolverket_missing_url_queue
birkaskolan.se,enskild_huvudman,"MÄLARÖARNAS MONTESSORI, EK. FÖR.",skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696032353,true,
bissstockholm.se,enskild_huvudman,STIFTELSEN BORGEN 2 - BRITISH INTERNATIONAL SCHOOL STOCKHOLM,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024777289,true,
bjorklidensgymnasium.com,enskild_huvudman,Fredens liljor AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566446711,false,
bjorkofriskola.se,enskild_huvudman,STIFTELSEN WALDORFPEDAGOGIK I VRETA KLOSTER,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8220027596,true,
bjorkskolan.se,enskild_huvudman,SKOLFÖRENINGEN VÄXA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8947021443,true,
bladins.se,enskild_huvudman,"BLADINS SKOLA, STIFTELSEN",skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8460010948,true,
blaklockan.se,enskild_huvudman,FÖRÄLDRAKOOPERATIVET BLÅKLOCKAN I BONÄS EK FÖREN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164570173,true,
blomenbergska.se,enskild_huvudman,Blomenbergska skolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568737091,true,
bma.nu,enskild_huvudman,BARNENS MONTESSORIAKADEMI ÖSTERMALM AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565075586,true,
bmsl.se,enskild_huvudman,STIFTELSEN BMSL,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024781158,true,
bobygda.se,enskild_huvudman,BOBYGDENS OMSORG OCH SERVICE EKONOMISK FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696032346,false,original_url=http://fsk.bobygda.se/
bobygdaskola.se,enskild_huvudman,BOBYGDENS FRAMTID EKONOMISK FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164586617,true,
bodbysund.se,enskild_huvudman,BODBYSUNDS MILJÖSKOLAS EKONOMISKA FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696017685,true,
bolebyskola.se,enskild_huvudman,BÖLE BYSKOLA AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566304613,true,
bollerup.se,enskild_huvudman,BOLLERUPS LANTBRUKSINSTITUT,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8388001177,true,
bornsfriskola.se,enskild_huvudman,FÖRÄLDRAKOOPERATIVET BORNS SKOLA EK.FÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164531886,true,
boskolan.se,enskild_huvudman,BÖSKOLANS FRISKOLA EK.FÖR.,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164451473,true,
botfri.se,enskild_huvudman,JPK Education AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564944063,true,
brandstromska.se,enskild_huvudman,STIFTELSEN FÖR KRISTEN SKOLVERKSAMHET,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8572054065,true,
britishschools.se,enskild_huvudman,British Schools AB,skolverket_organizer_email,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567516389,true,"confirmed_from_skolverket_missing_url_queue;school_units=British Junior Primary, Eskilstuna(AKTIV)|British Junior Secondary, Eskilstuna(AKTIV)"
broholmskolan.se,enskild_huvudman,Broholm Education AB,official_org_site,https://broholmskolan.se/,true,confirmed_from_skolverket_missing_url_queue
brommaenskilda.se,enskild_huvudman,Bromma Enskilda Skola ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696001366,true,
broskolan.se,enskild_huvudman,Broskolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567091391,true,
brovalvet.se,enskild_huvudman,FRISKOLAN BROVALVET AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564329315,false,
