domain,org_type,org_name,source,source_ref,is_active,notes
hofors.se,kommun,Hofors kommun,skr_kommunlista,http://www.hofors.se/,true,
huddinge.se,kommun,Huddinge kommun,skr_kommunlista,http://www.huddinge.se/,true,
hudiksvall.se,kommun,Hudiksvall kommun,skr_kommunlista,http://www.hudiksvall.se/,true,
hultsfred.se,kommun,Hultsfred kommun,skr_kommunlista,http://www.hultsfred.se/,true,
hylte.se,kommun,Hylte kommun,skr_kommunlista,http://www.hylte.se/,true,
hellefors.se,kommun,Hällefors kommun,skr_kommunlista,http://www.hellefors.se/,true,
herjedalen.se,kommun,Härjedalen kommun,skr_kommunlista,http://www.herjedalen.se/,true,
harnosand.se,kommun,Härnösand kommun,skr_kommunlista,https://www.harnosand.se/,true,
harryda.se,kommun,Härryda kommun,skr_kommunlista,http://www.harryda.se/,true,
hassleholm.se,kommun,Hässleholm kommun,skr_kommunlista,http://www.hassleholm.se/,true,
habo.se,kommun,Håbo kommun,skr_kommunlista,http://www.habo.se/,true,
hoganas.se,kommun,Höganäs kommun,skr_kommunlista,http://www.hoganas.se/,true,
hogsby.se,kommun,Högsby kommun,skr_kommunlista,http://www.hogsby.se/,true,
horby.se,kommun,Hörby kommun,skr_kommunlista,http://www.horby.se/,true,
hoor.se,kommun,Höör kommun,skr_kommunlista,http://www.hoor.se/,true,
jokkmokk.se,kommun,Jokkmokk kommun,skr_kommunlista,http://www.jokkmokk.se/,true,
jarfalla.se,kommun,Järfälla kommun,skr_kommunlista,http://www.jarfalla.se/,true,
jonkoping.se,kommun,Jönköping kommun,skr_kommunlista,http://www.jonkoping.se/,true,
kalix.se,kommun,Kalix kommun,skr_kommunlista,http://www.kalix.se/,true,
kalmar.se,kommun,Kalmar kommun,skr_kommunlista,http://www.kalmar.se/,true,
karlsborg.se,kommun,Karlsborg kommun,skr_kommunlista,http://www.karlsborg.se/,true,
karlshamn.se,kommun,Karlshamn kommun,skr_kommunlista,http://www.karlshamn.se/,true,
karlskoga.se,kommun,Karlskoga kommun,skr_kommunlista,https://www.karlskoga.se/,true,
karlskrona.se,kommun,Karlskrona kommun,skr_kommunlista,http://www.karlskrona.se/,true,
karlstad.se,kommun,Karlstad kommun,skr_kommunlista,http://www.karlstad.se/,true,
katrineholm.se,kommun,Katrineholm kommun,skr_kommunlista,http://www.katrineholm.se/,true,
kil.se,kommun,Kil kommun,skr_kommunlista,http://www.kil.se/,true,
kinda.se,kommun,Kinda kommun,skr_kommunlista,http://www.kinda.se/,true,
kiruna.se,kommun,Kiruna kommun,skr_kommunlista,http://kiruna.se/,true,
klippan.se,kommun,Klippan kommun,skr_kommunlista,http://www.klippan.se/,true,
knivsta.se,kommun,Knivsta kommun,skr_kommunlista,http://www.knivsta.se/,true,
kramfors.se,kommun,Kramfors kommun,skr_kommunlista,http://www.kramfors.se/,true,
kristianstad.se,kommun,Kristianstad kommun,skr_kommunlista,https://www.kristianstad.se/,true,
kristinehamn.se,kommun,Kristinehamn kommun,skr_kommunlista,http://www.kristinehamn.se/,true,
krokom.se,kommun,Krokom kommun,skr_kommunlista,http://www.krokom.se/,true,
kumla.se,kommun,Kumla kommun,skr_kommunlista,http://www.kumla.se/,true,
kungsbacka.se,kommun,Kungsbacka kommun,skr_kommunlista,http://www.kungsbacka.se/,true,
kungsor.se,kommun,Kungsör kommun,skr_kommunlista,http://www.kungsor.se/,true,
kungalv.se,kommun,Kungälv kommun,skr_kommunlista,http://www.kungalv.se/,true,
kavlinge.se,kommun,Kävlinge kommun,skr_kommunlista,http://www.kavlinge.se/,true,
koping.se,kommun,Köping kommun,skr_kommunlista,http://www.koping.se/,true,
laholm.se,kommun,Laholm kommun,skr_kommunlista,http://www.laholm.se/,true,
