cid,hazard_key,display_name,compound_url,candidate_index,candidate_url,candidate_source,likely_sds
6093208,Ca(OH)2,Kalciumhydroxid,https://pubchem.ncbi.nlm.nih.gov/compound/6093208,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
6093208,Ca(OH)2,Kalciumhydroxid,https://pubchem.ncbi.nlm.nih.gov/compound/6093208,1,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
6093258,FeCl3·6H2O,Järn(III)klorid (hexahydrat),https://pubchem.ncbi.nlm.nih.gov/compound/6093258,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
6093260,CaCl2·2H2O,Kalciumklorid (dihydrat),https://pubchem.ncbi.nlm.nih.gov/compound/6093260,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
6093286,Ba(OH)2,Bariumhydroxid,https://pubchem.ncbi.nlm.nih.gov/compound/6093286,0,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
6093286,Ba(OH)2,Bariumhydroxid,https://pubchem.ncbi.nlm.nih.gov/compound/6093286,1,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
6097028,(NH4)2SO4,Ammoniumsulfat,https://pubchem.ncbi.nlm.nih.gov/compound/6097028,0,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
6097028,(NH4)2SO4,Ammoniumsulfat,https://pubchem.ncbi.nlm.nih.gov/compound/6097028,1,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
6426889,KClO3,Kaliumklorat,https://pubchem.ncbi.nlm.nih.gov/compound/6426889,0,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
6426889,KClO3,Kaliumklorat,https://pubchem.ncbi.nlm.nih.gov/compound/6426889,1,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
6426889,KClO3,Kaliumklorat,https://pubchem.ncbi.nlm.nih.gov/compound/6426889,2,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1560.pdf,safety,false
6426889,KClO3,Kaliumklorat,https://pubchem.ncbi.nlm.nih.gov/compound/6426889,3,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
6426889,KClO3,Kaliumklorat,https://pubchem.ncbi.nlm.nih.gov/compound/6426889,4,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
9833931,ZnS,Zinksulfid,https://pubchem.ncbi.nlm.nih.gov/compound/9833931,0,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
9833931,ZnS,Zinksulfid,https://pubchem.ncbi.nlm.nih.gov/compound/9833931,1,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
